pid,BRAND
98842,BRAND_0
99038,BRAND_0
99040,BRAND_0
99043,BRAND_0
99048,BRAND_0
99069,BRAND_0
99074,BRAND_0
99091,BRAND_0
99107,BRAND_0
99111,BRAND_0
99227,BRAND_0
99264,BRAND_0
99389,BRAND_0
99551,BRAND_0
99638,BRAND_0
99642,BRAND_0
99650,BRAND_0
99666,BRAND_0
99793,BRAND_0
99794,BRAND_0
99865,BRAND_0
99880,BRAND_0
99881,BRAND_0
99905,BRAND_0
99922,BRAND_0
99923,BRAND_0
99936,BRAND_0
99964,BRAND_0
99989,BRAND_0
99992,BRAND_0
100004,BRAND_0
100061,BRAND_0
100078,BRAND_0
100094,BRAND_0
100210,BRAND_0
100304,BRAND_0
100363,BRAND_0
100379,BRAND_0
100408,BRAND_0
100415,BRAND_0
100463,BRAND_0
100489,BRAND_0
100529,BRAND_0
100545,BRAND_0
100622,BRAND_0
100702,BRAND_0
100744,BRAND_0
100774,BRAND_0
100811,BRAND_0
100823,BRAND_0
100827,BRAND_0
100841,BRAND_0
101111,BRAND_0
101112,BRAND_0
101116,BRAND_0
101152,BRAND_0
101203,BRAND_0
101204,BRAND_0
101207,BRAND_0
101234,BRAND_0
101300,BRAND_0
101343,BRAND_0
101455,BRAND_0
101578,BRAND_0
101611,BRAND_0
102239,BRAND_0
102252,BRAND_0
102361,BRAND_0
102512,BRAND_0
102737,BRAND_0
102876,BRAND_0
102945,BRAND_0
102947,BRAND_0
103046,BRAND_0
103129,BRAND_0
103224,BRAND_0
103238,BRAND_0
103358,BRAND_0
103405,BRAND_0
103629,BRAND_0
103648,BRAND_0
103676,BRAND_0
103788,BRAND_0
104267,BRAND_0
104552,BRAND_0
104853,BRAND_0
104917,BRAND_0
104967,BRAND_0
105088,BRAND_0
105118,BRAND_0
105123,BRAND_0
105191,BRAND_0
105409,BRAND_0
105476,BRAND_0
105569,BRAND_0
105672,BRAND_0
105712,BRAND_0
105713,BRAND_0
105783,BRAND_0
105859,BRAND_0
105891,BRAND_0
106101,BRAND_0
106122,BRAND_0
106392,BRAND_0
106393,BRAND_0
106394,BRAND_0
106421,BRAND_0
106458,BRAND_0
106459,BRAND_0
106467,BRAND_0
106591,BRAND_0
106598,BRAND_0
106602,BRAND_0
106644,BRAND_0
106645,BRAND_0
106655,BRAND_0
106656,BRAND_0
106775,BRAND_0
106824,BRAND_0
106876,BRAND_0
106927,BRAND_0
106935,BRAND_0
106965,BRAND_0
107007,BRAND_0
107017,BRAND_0
107057,BRAND_0
107136,BRAND_0
107181,BRAND_0
107254,BRAND_0
107268,BRAND_0
107292,BRAND_0
107338,BRAND_0
107341,BRAND_0
107350,BRAND_0
107398,BRAND_0
107419,BRAND_0
107435,BRAND_0
107442,BRAND_0
107469,BRAND_0
107505,BRAND_0
107578,BRAND_0
107585,BRAND_0
107605,BRAND_0
107631,BRAND_0
107691,BRAND_0
107713,BRAND_0
107742,BRAND_0
107749,BRAND_0
107751,BRAND_0
107765,BRAND_0
107836,BRAND_0
107894,BRAND_0
107917,BRAND_0
107929,BRAND_0
107970,BRAND_0
108004,BRAND_0
108072,BRAND_0
108087,BRAND_0
108207,BRAND_0
108245,BRAND_0
108266,BRAND_0
108357,BRAND_0
108367,BRAND_0
108525,BRAND_0
108654,BRAND_0
108672,BRAND_0
108865,BRAND_0
108866,BRAND_0
108867,BRAND_0
108871,BRAND_0
108878,BRAND_0
109033,BRAND_0
109071,BRAND_0
109091,BRAND_0
109130,BRAND_0
109131,BRAND_0
109173,BRAND_0
109193,BRAND_0
109207,BRAND_0
109386,BRAND_0
109392,BRAND_0
109708,BRAND_0
109775,BRAND_0
109850,BRAND_0
110015,BRAND_0
110056,BRAND_0
110072,BRAND_0
110143,BRAND_0
110280,BRAND_0
110375,BRAND_0
110388,BRAND_0
110394,BRAND_0
110482,BRAND_0
110498,BRAND_0
110667,BRAND_0
110719,BRAND_0
110728,BRAND_0
110739,BRAND_0
110755,BRAND_0
110760,BRAND_0
110767,BRAND_0
110777,BRAND_0
110780,BRAND_0
110793,BRAND_0
110797,BRAND_0
110804,BRAND_0
110827,BRAND_0
110832,BRAND_0
110862,BRAND_0
110868,BRAND_0
110916,BRAND_0
110969,BRAND_0
110981,BRAND_0
111001,BRAND_0
111008,BRAND_0
111071,BRAND_0
111075,BRAND_0
111082,BRAND_0
111084,BRAND_0
111097,BRAND_0
111125,BRAND_0
111153,BRAND_0
111191,BRAND_0
111206,BRAND_0
111215,BRAND_0
111216,BRAND_0
111248,BRAND_0
111290,BRAND_0
111377,BRAND_0
111418,BRAND_0
111447,BRAND_0
111548,BRAND_0
111569,BRAND_0
111581,BRAND_0
111601,BRAND_0
111609,BRAND_0
111631,BRAND_0
111831,BRAND_0
111847,BRAND_0
111858,BRAND_0
111879,BRAND_0
111910,BRAND_0
111940,BRAND_0
111969,BRAND_0
111972,BRAND_0
112021,BRAND_0
112070,BRAND_0
112084,BRAND_0
112159,BRAND_0
112167,BRAND_0
112218,BRAND_0
112249,BRAND_0
112266,BRAND_0
112267,BRAND_0
112278,BRAND_0
112300,BRAND_0
112357,BRAND_0
112358,BRAND_0
112379,BRAND_0
112404,BRAND_0
112456,BRAND_0
112483,BRAND_0
112543,BRAND_0
112559,BRAND_0
112618,BRAND_0
112619,BRAND_0
112663,BRAND_0
112705,BRAND_0
112707,BRAND_0
112717,BRAND_0
112742,BRAND_0
112743,BRAND_0
112765,BRAND_0
112787,BRAND_0
112788,BRAND_0
112802,BRAND_0
112833,BRAND_0
112915,BRAND_0
112946,BRAND_0
112957,BRAND_0
112959,BRAND_0
112988,BRAND_0
112989,BRAND_0
113002,BRAND_0
113008,BRAND_0
113016,BRAND_0
113050,BRAND_0
113060,BRAND_0
113062,BRAND_0
113106,BRAND_0
113133,BRAND_0
113145,BRAND_0
113201,BRAND_0
113241,BRAND_0
113305,BRAND_0
113317,BRAND_0
113322,BRAND_0
113342,BRAND_0
113372,BRAND_0
113396,BRAND_0
113436,BRAND_0
113641,BRAND_0
113689,BRAND_0
113699,BRAND_0
113745,BRAND_0
113766,BRAND_0
113819,BRAND_0
113830,BRAND_0
113844,BRAND_0
113861,BRAND_0
113886,BRAND_0
113888,BRAND_0
113912,BRAND_0
113916,BRAND_0
113922,BRAND_0
113935,BRAND_0
113957,BRAND_0
113987,BRAND_0
114005,BRAND_0
114013,BRAND_0
114060,BRAND_0
114108,BRAND_0
114167,BRAND_0
114192,BRAND_0
114266,BRAND_0
114274,BRAND_0
114282,BRAND_0
114291,BRAND_0
114336,BRAND_0
114382,BRAND_0
114398,BRAND_0
114417,BRAND_0
114458,BRAND_0
114509,BRAND_0
114538,BRAND_0
114539,BRAND_0
114568,BRAND_0
115383,BRAND_0
115437,BRAND_0
115477,BRAND_0
115503,BRAND_0
115506,BRAND_0
115515,BRAND_0
115520,BRAND_0
115526,BRAND_0
115540,BRAND_0
115552,BRAND_0
115555,BRAND_0
115632,BRAND_0
115687,BRAND_0
115873,BRAND_0
115982,BRAND_0
116012,BRAND_0
116033,BRAND_0
116062,BRAND_0
116072,BRAND_0
116105,BRAND_0
116136,BRAND_0
116146,BRAND_0
116181,BRAND_0
116194,BRAND_0
116203,BRAND_0
116233,BRAND_0
116261,BRAND_0
116354,BRAND_0
116357,BRAND_0
116382,BRAND_0
116404,BRAND_0
116414,BRAND_0
116535,BRAND_0
116554,BRAND_0
116581,BRAND_0
116593,BRAND_0
116686,BRAND_0
116708,BRAND_0
116734,BRAND_0
116739,BRAND_0
116822,BRAND_0
116875,BRAND_0
116895,BRAND_0
116918,BRAND_0
116948,BRAND_0
116961,BRAND_0
116966,BRAND_0
116994,BRAND_0
117018,BRAND_0
117048,BRAND_0
117144,BRAND_0
117181,BRAND_0
117267,BRAND_0
117286,BRAND_0
117302,BRAND_0
117307,BRAND_0
117325,BRAND_0
117336,BRAND_0
117439,BRAND_0
117460,BRAND_0
117475,BRAND_0
117482,BRAND_0
117521,BRAND_0
117541,BRAND_0
117616,BRAND_0
117619,BRAND_0
117655,BRAND_0
117664,BRAND_0
117696,BRAND_0
117749,BRAND_0
117772,BRAND_0
117777,BRAND_0
117816,BRAND_0
117843,BRAND_0
117855,BRAND_0
117883,BRAND_0
117902,BRAND_0
117954,BRAND_0
117958,BRAND_0
117982,BRAND_0
118028,BRAND_0
118099,BRAND_0
118142,BRAND_0
118236,BRAND_0
118333,BRAND_0
118349,BRAND_0
118371,BRAND_0
118393,BRAND_0
118468,BRAND_0
118482,BRAND_0
118498,BRAND_0
118521,BRAND_0
118534,BRAND_0
118535,BRAND_0
118554,BRAND_0
118562,BRAND_0
118632,BRAND_0
118664,BRAND_0
118678,BRAND_0
118784,BRAND_0
118788,BRAND_0
118801,BRAND_0
118805,BRAND_0
118814,BRAND_0
118815,BRAND_0
118834,BRAND_0
118836,BRAND_0
118843,BRAND_0
118864,BRAND_0
118883,BRAND_0
118890,BRAND_0
118907,BRAND_0
118917,BRAND_0
118932,BRAND_0
118940,BRAND_0
118959,BRAND_0
118993,BRAND_0
