pid,DTYPE
64080,DEVICE_TYPE_12
64080,DEVICE_TYPE_35
64081,DEVICE_TYPE_99
64082,DEVICE_TYPE_135
64083,DEVICE_TYPE_93
64083,DEVICE_TYPE_135
64084,DEVICE_TYPE_1
64085,DEVICE_TYPE_34
64085,DEVICE_TYPE_111
64086,DEVICE_TYPE_135
64087,DEVICE_TYPE_34
64088,DEVICE_TYPE_35
64089,DEVICE_TYPE_135
64090,DEVICE_TYPE_107
64091,DEVICE_TYPE_25
64091,DEVICE_TYPE_103
64092,DEVICE_TYPE_27
64093,DEVICE_TYPE_145
64094,DEVICE_TYPE_34
64095,DEVICE_TYPE_34
64096,DEVICE_TYPE_156
64096,DEVICE_TYPE_88
64097,DEVICE_TYPE_111
64098,DEVICE_TYPE_34
64099,DEVICE_TYPE_98
64100,DEVICE_TYPE_34
64101,DEVICE_TYPE_35
64101,DEVICE_TYPE_135
64102,DEVICE_TYPE_135
64103,DEVICE_TYPE_109
64104,DEVICE_TYPE_156
64105,DEVICE_TYPE_109
64106,DEVICE_TYPE_34
64107,DEVICE_TYPE_102
64108,DEVICE_TYPE_135
64109,DEVICE_TYPE_1
64110,DEVICE_TYPE_35
64111,DEVICE_TYPE_109
64112,DEVICE_TYPE_34
64113,DEVICE_TYPE_156
64114,DEVICE_TYPE_111
64115,DEVICE_TYPE_135
64116,DEVICE_TYPE_99
64117,DEVICE_TYPE_156
64118,DEVICE_TYPE_94
64119,DEVICE_TYPE_1
64120,DEVICE_TYPE_12
64120,DEVICE_TYPE_123
64121,DEVICE_TYPE_135
64122,DEVICE_TYPE_34
64123,DEVICE_TYPE_34
64124,DEVICE_TYPE_103
64125,DEVICE_TYPE_12
64125,DEVICE_TYPE_45
64125,DEVICE_TYPE_135
64126,DEVICE_TYPE_34
64127,DEVICE_TYPE_156
64128,DEVICE_TYPE_25
64129,DEVICE_TYPE_34
64130,DEVICE_TYPE_27
64131,DEVICE_TYPE_34
64132,DEVICE_TYPE_27
64133,DEVICE_TYPE_35
64134,DEVICE_TYPE_34
64134,DEVICE_TYPE_135
64135,DEVICE_TYPE_111
64136,DEVICE_TYPE_35
64137,DEVICE_TYPE_111
64138,DEVICE_TYPE_34
64139,DEVICE_TYPE_35
64140,DEVICE_TYPE_35
64141,DEVICE_TYPE_108
64142,DEVICE_TYPE_35
64142,DEVICE_TYPE_88
64143,DEVICE_TYPE_35
64144,DEVICE_TYPE_1
64145,DEVICE_TYPE_34
64145,DEVICE_TYPE_108
64146,DEVICE_TYPE_156
64147,DEVICE_TYPE_35
64148,DEVICE_TYPE_98
64149,DEVICE_TYPE_156
64150,DEVICE_TYPE_135
64151,DEVICE_TYPE_135
64152,DEVICE_TYPE_34
64153,DEVICE_TYPE_109
64154,DEVICE_TYPE_1
64155,DEVICE_TYPE_108
64156,DEVICE_TYPE_109
64156,DEVICE_TYPE_111
64157,DEVICE_TYPE_1
64158,DEVICE_TYPE_117
64159,DEVICE_TYPE_35
64160,DEVICE_TYPE_27
64161,DEVICE_TYPE_27
64162,DEVICE_TYPE_35
64163,DEVICE_TYPE_109
64164,DEVICE_TYPE_35
64165,DEVICE_TYPE_35
64165,DEVICE_TYPE_88
64166,DEVICE_TYPE_109
64167,DEVICE_TYPE_156
64168,DEVICE_TYPE_34
64168,DEVICE_TYPE_88
64169,DEVICE_TYPE_52
64169,DEVICE_TYPE_135
64170,DEVICE_TYPE_34
64171,DEVICE_TYPE_35
64172,DEVICE_TYPE_107
64173,DEVICE_TYPE_95
64173,DEVICE_TYPE_108
64174,DEVICE_TYPE_117
64175,DEVICE_TYPE_35
64176,DEVICE_TYPE_35
64177,DEVICE_TYPE_135
64178,DEVICE_TYPE_12
64178,DEVICE_TYPE_34
64179,DEVICE_TYPE_135
64180,DEVICE_TYPE_27
64181,DEVICE_TYPE_34
64182,DEVICE_TYPE_34
64182,DEVICE_TYPE_135
64183,DEVICE_TYPE_34
64184,DEVICE_TYPE_44
